%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
212.0, 3252.3129287139095, -3889.851735812633, -7453.770333977978, -5068.90625583008, -6765.3366047545205, -4524.149539965337, -4999.995827674369, -4658.550579375098, -0.002, 0.978, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398203625475984E9, 0.0, 2025-02-17 16:26:02.547
213.0, 3250.7930100909484, -3872.6632443265016, -7433.8549296682995, -5100.355160278697, -6750.807970858571, -4508.279801402068, -4982.2261908324, -4640.892701255405, -0.002, 0.978, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398203625476234E9, 0.0, 2025-02-17 16:26:02.547
214.0, 3252.0894112693563, -3887.527154389281, -7422.65670569619, -5062.536008660318, -6772.2656455356655, -4527.748170822641, -4993.290304337776, -4648.291128670112, -0.002, 0.978, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.739820362547654E9, 0.0, 2025-02-17 16:26:02.547
215.0, 3252.6929083696496, -3907.0849307876747, -7429.071656354864, -5005.047321921268, -6793.812727190581, -4549.250548988646, -5011.350513857665, -4663.467963155265, -0.002, 0.978, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398203625476785E9, 0.0, 2025-02-17 16:26:02.547
216.0, 3254.54810315944, -3886.0295875107754, -7443.868511184277, -5041.190092705499, -6762.3414709975095, -4519.835653285462, -4994.65376074955, -4652.515608372165, -0.002, 0.978, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398203625477035E9, 0.0, 2025-02-17 16:26:02.547
217.0, 3253.7657921035043, -3862.8731802550774, -7427.7529034320005, -5087.681721172538, -6739.766209097649, -4496.187507651747, -4972.503181994341, -4631.907299984372, -0.01, 0.984, 0.29, 192.0, 255.0, 176.0, 30.0, 192.0, 9.0, 16.0, 0.0, 0.0, 0.0, 1.7398203625477364E9, 0.0, 2025-02-17 16:26:02.547
218.0, 3251.3518037023314, -3869.2210756803843, -7409.692693912112, -5057.842142324704, -6752.864331348459, -4507.65395255732, -4975.766536684816, -4632.130817428925, -0.01, 0.984, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398203625477746E9, 0.0, 2025-02-17 16:26:02.547
219.0, 3249.138981001256, -3886.6554363555238, -7408.664513667169, -4995.123147383112, -6775.529000226141, -4527.770522567096, -4991.7033304814495, -4644.670146068353, -0.01, 0.984, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398203625478005E9, 0.0, 2025-02-17 16:26:02.547
220.0, 3249.228387979077, -3870.5398286032473, -7423.550775474403, -5011.194051646477, -6749.3104039800655, -4506.268144401091, -4979.566333242218, -4637.137608186914, -0.01, 0.984, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398203625478313E9, 0.0, 2025-02-17 16:26:02.547
221.0, 3249.1836844901663, -3842.913072456488, -7412.553717202391, -5068.570979663251, -6719.85080478797, -4477.277931842557, -4953.973585840891, -4614.651753264875, -0.01, 0.984, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398203625478568E9, 0.0, 2025-02-17 16:26:02.547
