"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Decomposition frequency optimization in wavelet-based template matching algorithms to manage P300 latency jitter","I. Quattrociocchi; V. Caracci; A. Riccio; V. Galiotta; M. D’Ippolito; F. Cincotti; J. Toppi; L. Astolfi","Department of Computer, Control and Management Engineering, Sapienza University of Rome, Italy; Department of Computer, Control and Management Engineering, Sapienza University of Rome, Italy; Neuroelectrical Imaging and Brain Computer Interface Laboratory, Fondazione Santa Lucia IRCCS, Rome, Italy; Neuroelectrical Imaging and Brain Computer Interface Laboratory, Fondazione Santa Lucia IRCCS, Rome, Italy; Neuroelectrical Imaging and Brain Computer Interface Laboratory, Fondazione Santa Lucia IRCCS, Rome, Italy; Department of Computer, Control and Management Engineering, Sapienza University of Rome, Italy; Department of Computer, Control and Management Engineering, Sapienza University of Rome, Italy; Department of Computer, Control and Management Engineering, Sapienza University of Rome, Italy",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"17 Dec 2024","2024","","","1","4","Event-Related Potentials (ERPs) are modifications of the brain activity in response to external sensory stimulation. P300 is a positive ERP component that occurs 300 ms after the presentation of a rare stimulus and indicates conscious perception of an unexpected change in sensory stimulation. Since the amplitude of ERPs is comparable to that of background electroencephalography, the most widespread approach to render ERPs correctly detectable is time-domain averaging. ERPs are physiologically affected by variations in latency, referred to as latency jitter. The most promising techniques to address latency jitter are cross-correlation template matching algorithms, which estimate single-trial latencies and resynchronize them according to a template that best describes the ERP component. Adaptive Wavelet Filtering (AWF) is an algorithm applied in the wavelet domain to provide the optimal compromise of time-frequency resolution in detecting ERPs. The choice of an appropriate decomposition frequency is crucial in the application of AWF, as it is essential for identifying the correct template and estimating single-trial latencies. In this study, we investigated the influence of frequency on the performance of AWF to optimize it. The algorithm was tested on simulated data with varying latency shifts and signal-to-noise ratios as well as for data recorded from 11 healthy subjects during an auditory oddball paradigm. Results on both simulated and real EEG data showed how frequency decomposition of 3 Hz is the most appropriate for P300 waveform detection.","2694-0604","979-8-3503-7149-9","10.1109/EMBC53108.2024.10782005","Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10782005","Event Related Potentials;Latency Jitter;Adaptive Wavelet Filtering;EEG;P300","Time-frequency analysis;Wavelet domain;Jitter;Electroencephalography;Physiology;Frequency estimation;Time-domain analysis;Signal resolution;Optimization;Signal to noise ratio","Algorithms;Humans;Event-Related Potentials, P300;Electroencephalography;Wavelet Analysis;Signal Processing, Computer-Assisted","","","9","IEEE","17 Dec 2024","","","IEEE","IEEE Conferences"
"Classifying subjective emotional stress response evoked by multitasking using EEG","K. G. Smitha; N. Y. Xin; S. S. Lian; N. Robinson","School of Computer Science Engineering, Nanyang Technological University, Singapore; School of Computer Science Engineering, Nanyang Technological University, Singapore, Singapore, SG; School of Computer Science Engineering, Nanyang Technological University, Singapore, Singapore, SG; School of Computer Science Engineering, Nanyang Technological University, Singapore","2017 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","30 Nov 2017","2017","","","3036","3041","In this fast pace world, individuals are expected to perform and complete multiple jobs simultaneously which induces various levels of stress among persons. Though positive stress can contribute effectively towards success, its overload could cause serious health problems. Therefore, it is of paramount importance to understand and differentiate good stress from bad stress for each person. Even though a number of studies reported in literature have identified stress/emotion using brain signals, investigation of stress with user's emotional response is rarely explored. In this study, our aim is to understand human stress based on emotional response of the users, using band power features extracted from Electroencephalogram (EEG) signal. We are using multitasking framework to evoke the subjective emotional stress response. Using Support Vector Machine technique that effectively differentiates good and bad stress from the relaxed state of mind, an average recognition accuracy of 77.53% is obtained in the three level stress classification.","","978-1-5386-1645-1","10.1109/SMC.2017.8123091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8123091","brain computer interface;emotional stress;EEG","Stress;Electroencephalography;Multitasking;Feature extraction;Psychology;Training","","5","","17","IEEE","30 Nov 2017","","","IEEE","IEEE Conferences"
"Effect of Artifact Removal in Machine Learning Based Anxiety Screening Using EEG Signal","N. Sakib; K. Islam; T. Faruk","Electrical & Electronic Engineering, Independent University, Bangladesh, Dhaka, Bangladesh; Electrical & Electronic Engineering, Independent University, Bangladesh, Dhaka, Bangladesh; Dept. of Public Health, Independent University, Bangladesh, Dhaka, Bangladesh","2025 4th International Conference on Robotics, Electrical and Signal Processing Techniques (ICREST)","14 Mar 2025","2025","","","498","503","Anxiety is among the most prevalent mental health disorders. An essential component of anxiety treatment is screening. The limitations of conventional screening methods can be solved by employing machine learning to identify anxiety from EEG signals. As EEG is nonstationary, artifacts can easily corrupt the signal. The artifact in EEG data needs to be eliminated to enhance signal quality and obtain accurate analysis. The impact of artifact reduction from EEG signals for the machine learningbased anxiety screening was investigated in this study. Here, the EEG data of 40 participants (aged between 18 and 25 years) was used; of these, 24 had anxiety and 16 did not. A novel algorithm for artifact removal was used to process the data. After extracting the Hjorth parameters, the SVM classifier was used. The study revealed that implementing artifact removal improves the classification accuracy of the left frontal channels by 14.67% and the right frontal channels by 8.31% along with other performance parameters.","","979-8-3315-3095-2","10.1109/ICREST63960.2025.10914438","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10914438","Anxiety Screening;GAD-7;Electroencephalography;Wireless EEG;Artifact Removal;Machine Learning;SVM","Support vector machines;Wireless communication;Measurement;Accuracy;Anxiety disorders;Signal processing algorithms;Mental health;Electroencephalography;Robots;Signal to noise ratio","","","","19","IEEE","14 Mar 2025","","","IEEE","IEEE Conferences"
"Learning event-related potentials (ERPs) from multichannel EEG recordings: A spatio-temporal modeling framework with a fast estimation algorithm","W. Wu; S. Gao","Department of Biomedical Engineering, Tsinghua University, Beijing, China; Department of Biomedical Engineering, Tsinghua University, Beijing, China",2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"1 Dec 2011","2011","","","6959","6962","Extracting event-related potentials (ERPs) from multichannel EEG recordings remains a challenge due to the poor signal-to-noise ratio (SNR). This paper presents a multivariate statistical model of ERPs by exploiting the existing knowledge about their spatio-temporal properties. In particular, a computationally efficient algorithm is derived for fast model estimation. The algorithm, termed SIM, can be intuitively interpreted as maximizing the signal-to-noise ratio in the source space. Using both simulated and real EEG data, we show that the algorithm achieves excellent estimation performance and substantially outperforms a state-of-the-arts algorithm in classification accuracies in a P300 target detection task. The results demonstrate that the proposed modeling framework offers a powerful tool for exploring the spatio-temporal patterns of ERPs as well as learning spatial filters for decoding brain states.","1558-4615","978-1-4577-1589-1","10.1109/IEMBS.2011.6091759","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6091759","","Electroencephalography;Signal to noise ratio;Algorithm design and analysis;Accuracy;Brain models;Estimation","Adult;Algorithms;Brain;Brain Mapping;Computer Simulation;Electroencephalography;Event-Related Potentials, P300;Evoked Potentials;Female;Humans;Likelihood Functions;Male;Models, Statistical;Normal Distribution;Reproducibility of Results;Signal Processing, Computer-Assisted;Signal-To-Noise Ratio;Time Factors","11","","14","IEEE","1 Dec 2011","","","IEEE","IEEE Conferences"
"The Effect of an Auditory Stressor, with Respect to Affective Style, on Frontal EEG Asymmetry and ERP Analysis","S. Seo; Y. Gil; J. Lee","Department of Computer Science & Engineering, Pusan National University, Busan, South Korea; Department of Computer Science & Engineering, Pusan National University, Busan, South Korea; Department of Computer Science & Engineering, Pusan National University, Busan, South Korea",2008 Fourth International Conference on Networked Computing and Advanced Information Management,"12 Sep 2008","2008","1","","662","667","The aim of the current study was to investigate the effect of an auditory stressor, with respect to affective style, on frontal EEG asymmetry, ERP, and psychological stress. Twenty subjects were tested during the sound of a woman's scream and the sound of birds. A greater negative N200 and positive P300 amplitude was exhibited for a woman's scream compared with the sound of birds. A shorter N200 and P300 latency was exhibited. Also, a greater right frontal activity was found during a woman's scream. Furthermore, the affective style of subjects according to an auditory stressor was found. Subjects in the stress group compared to other groups reported a higher level of stress on Cohen's Perceived Stress Scale. These results demonstrate that a woman's scream results in relatively greater right frontal activity and psychological stress and serves as an auditory stressor.","","978-0-7695-3322-3","10.1109/NCM.2008.81","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4624088","Frontal asymmetry;affective style;stress;ERP;EEG","Stress;Electroencephalography;Psychology;Electrodes;Noise;Mood;Brain","","3","","32","IEEE","12 Sep 2008","","","IEEE","IEEE Conferences"
"An Algorithm for Quantifying Anxiety, Stress, and Attention: Towards Objective Assessment of Mental States","R. V. Paraschiv; T. Paraschiv; C. K. Bănică; A. Ignat; O. Stirbu; F. Adochiei","Titu Maiorescu University; Titu Maiorescu University; SC WING COMPUTER GROUP SRL; Military Technical Academy ""Ferdinand I""; SC WING COMPUTER GROUP SRL; University Politehnica of Bucharest, Romania",2023 13th International Symposium on Advanced Topics in Electrical Engineering (ATEE),"28 Apr 2023","2023","","","1","4","Different types of brain electrical activity investigations may provide valuable information for understanding mental states. Lack of anxiety, stress, and attention must be addressed appropriately to develop a healthy society. According to current studies, the assessment and differentiation between different mental states are still based on questionnaires, and there are still no standard digitalized tools to help diagnose. Unlike other research teams, we studied neural changes and aimed to identify and classify mental states by performing electroencephalographic (EEG) signal processing. So, we developed an algorithm for diagnosing anxiety, stress, and attention levels. The algorithm's basis is a mathematical apparatus that provides three indexes to assess attention, anxiety, and stress levels. The algorithm could contribute to many therapies as a support tool, such as Neurofeedback therapy, Mindfulness-based interventions, Biofeedback therapy, Cognitive restructuring therapy, and Cognitive behavioral therapy (CBT). In addition, our algorithm can provide valuable contributions in other related domains such as Clinical psychology, Neuropsychology, Human-computer interaction, Education, Sports Psychology, etc.","2159-3604","979-8-3503-3193-6","10.1109/ATEE58038.2023.10108248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10108248","EEG analysis;attention index;anxiety index;stress index.","Anxiety disorders;Signal processing algorithms;Medical treatment;Human factors;Electroencephalography;Classification algorithms;Indexes","","2","","22","IEEE","28 Apr 2023","","","IEEE","IEEE Conferences"
"EEG asymmetry and anxiety","H. -R. Yang; J. -E. Park; S. Choi; J. -H. Sohn; J. -M. Lee","Department of Psychology, Brain Research Institute, Chungnam National University, Daejeon, South Korea; Department of Psychology, Brain Research Institute, Chungnam National University, Daejeon, South Korea; Department of Psychology, Brain Research Institute, Chungnam National University, Daejeon, South Korea; Department of Psychology, Brain Research Institute, Chungnam National University, Daejeon, South Korea; Department of Psychology, University of Minnesota, Minneapolis, MN, USA",2013 International Winter Workshop on Brain-Computer Interface (BCI),"22 Apr 2013","2013","","","54","55","This study examined a relationship between anxiety scale score and two types of EEG asymmetry: resting state and fear-induced state. 30 adults who have no psychiatric history were participated, and their EEGs were recorded while resting and watching emotion-inducing film clips respectively. The result was obtained that there is no significant difference in resting state EEG asymmetry between high and low anxiety, but there is a meaningful difference in fear-induced frontal EEG asymmetry between two anxiety levels. The group with high anxiety level shows greater EEG asymmetry. We discussed the way how this result could be applied to anxiety treatment.","","978-1-4673-5974-0","10.1109/IWW-BCI.2013.6506628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6506628","EEG;emotion;EEG asymmetry;Fear;Anxiety","Electroencephalography;Training;Educational institutions;Psychology;Biological control systems;History;Films","","2","","3","IEEE","22 Apr 2013","","","IEEE","IEEE Conferences"
"Neural Processing of Social Stimuli in High vs. Low Social Anxiety Individuals: A Pilot Study","E. A. Alenina; K. S. Terenteva; V. V. Kosonogov","HSE University, Saint-Petersburg, Russia; HSE University, Moscow, Russia; HSE University, Saint-Petersburg, Russia",2024 8th Scientific School Dynamics of Complex Networks and their Applications (DCNA),"21 Oct 2024","2024","","","7","9","Social anxiety is characterized by fear in various socially related situations. Research demonstrates that people with high social anxiety have lower self-esteem and experience negative impacts from this state. The current pilot study aimed to investigate neural responses to social stimuli in individuals with high and low social anxiety. Fifty-seven participants completed an online screening form to assess anxiety levels, with four participants selected for each group based on their scores (High Social Anxiety group: M_age = 20.57, SD = 4.27; Low Social Anxiety group: M_age $=\mathbf{2 8. 5}, \mathbf{S D}=\mathbf{7. 1 8}$). Participants underwent EEG recordings while being exposed to facial expression stimuli. Results revealed lower event-related potentials (ERPs) in individuals with high social anxiety compared to those with low social anxiety. These findings suggest altered neural processing of social cues in individuals with high social anxiety, highlighting the need for further investigation into the underlying mechanisms.","2770-744X","979-8-3503-9083-4","10.1109/DCNA63495.2024.10718638","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10718638","social anxiety;ERP;EEG;high social anxiety;lower social anxiety","Anxiety disorders;Complex networks;Electroencephalography;Recording","","1","","18","IEEE","21 Oct 2024","","","IEEE","IEEE Conferences"
"Why Individuals Commit Information Security Violations: Neural Correlates of Decision Processes and Self-Control","Q. Hu; R. West; L. Smarandescu; Z. Yaple",Iowa State University; Iowa State University; Iowa State University; Iowa State University,2014 47th Hawaii International Conference on System Sciences,"10 Mar 2014","2014","","","3234","3243","Self-control has been identified as a major factor influencing individual behavior in social studies, economics, criminology, and information security literatures. Recent neuroscience studies show that lack of self-control can be attributed to lesions in the right prefrontal region of the brain, suggesting a strong linkage between self-control and neural processes. In this study, we tested neural correlates between self-control and decision making in the context of information security using electroencephalography (EEG) and event related potentials (ERPs). Our results show that while both left and right hemispheres of the brain are involved in decision making, the subjects with low self-control evoked lower level of neural activities in the right hemisphere and made riskier decisions than the subjects with high self-control. This study validates a new paradigm for using EEG/ERP to study information security related phenomena, and opens a new path for studying decision making neural correlates using scenario based approach.","1530-1605","978-1-4799-2504-9","10.1109/HICSS.2014.400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6759002","Self Control;Neuroscience;EEG;ERP;Information Security;Compliance Behavior","Information security;Electroencephalography;Decision making;Educational institutions;Neuroscience;Context;Brain","","","","38","IEEE","10 Mar 2014","","","IEEE","IEEE Conferences"
"Event-related potentials Source Separation based on a weak exclusion principle","L. Ma; T. Blu; W. S. -Y. Wang",The Chinese University of Hong Kong; The Chinese University of Hong Kong; Hong Kong Polytechnic University,2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),"19 Jun 2017","2017","","","1011","1014","Currently, the standard event-related potentials (ERP) technique consists in averaging many on-going electroencephalogram (EEG) trials using the same stimuli. Key questions are how to extract the ERP from on-going EEG with fewer average times and how to further decompose ERP into basic components related to cognitive process. In this paper we introduce a novel Blind Source Separation (BSS) approach based on a weak exclusion principle (WEP) to solve these problems. The superior aspect of this algorithm is that it is based on a deterministic principle, which is more appropriate to analyze non-stationary EEG signals than most other BSS methods based on statistical hypotheses. The results show that our BSS algorithm can quickly and effectively extract ERPs using fewer average times than the traditional averaging methods. We show that, via BSS, we can isolate two main ERP components, which are respectively related to an exogenous process and a cognitive process, and can discriminate between the occipital lobe and the frontal lobe responses from the brain, agreeing with the classical component modeling in ERPs. Single-trial ERP separation results have demonstrated the consistency of these two main ERP components. Thus, BSS based on WEP can provide a window to better understand ERP, not only in averaging behavior, but in the complexities of moment-to-moment dynamics as well.","1945-8452","978-1-5090-1172-8","10.1109/ISBI.2017.7950687","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950687","Blind Source Separation (BSS);Event- Related Potentials (ERP);Electroencephalogram (EEG);Weak Exclusion Principle (WEP)","Electroencephalography;Blind source separation;Electrodes;Electric potential;Brain modeling;Standards;Indexes","","1","","10","IEEE","19 Jun 2017","","","IEEE","IEEE Conferences"
