"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"NeuroXRFitness: Music Therapy for Mental Stress Relief Using EEG Signal","M. M. Hasan; S. Cirstea; M. N. Shraboni","R&D Team, MediprospectsAI Limited, School of Computing and Information Science; Computing and AI Group, School of Computing Information Sciences (CIS), London, United Kingdom; R&D Department, MediprospectsAI, London","2023 15th International Conference on Software, Knowledge, Information Management and Applications (SKIMA)","23 Jan 2024","2023","","","231","236","Mental health challenges, particularly in the youth of the United Kingdom, have seen a marked increase, necessitating innovative solutions for their management. “NeuroXRFitness,” developed by MediprospectsAI and Anglia Ruskin University, presents a pioneering approach to improving mental and physical well-being. This project employs EEG signal analysis as a cornerstone to develop a virtual environment for individuals aged 13 and above. Integrate neurofeedback with music therapy, facilitated by AI-powered technology, to address depression and anxiety disorders. The pipeline includes EEG signal collection, processing, and emotion classification to tailor the neurofeedback. This paper proposes to explore the effectiveness of NeuroXRFitness in enhancing mental health, focusing on integrating EEG-based emotion classification into the user experience. The project combines physical activities, immersive XR experiences, and personalised music therapy, leveraging EEG signals to create a user-specific therapeutic environment. The project aims to reshape adolescent physical activity habits and provide a holistic tool for Improving stress management and mental health.","2573-3214","979-8-3503-1655-1","10.1109/SKIMA59232.2023.10387336","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10387336","NeuroXRFitness;Mental Health;EEG Signal;Music Therapy;Neurofeedback;AI-Powered Health Intervention;Emotion Classification;XR Gaming","Anxiety disorders;Medical treatment;Virtual environments;Mental health;Electroencephalography;User experience;Software","","","","9","IEEE","23 Jan 2024","","","IEEE","IEEE Conferences"
"Emotional Analysis of Drug Addicted Patients using Virtual Reality Therapy and EEG Signals","A. Kataria; G. Singh; J. K. Sandhu","Department of Computer Science and Engineering, Chitkara University Institute of Engineering and Technology, Chitkara University, Rajpura, Punjab, India; Department of Electronics and Communication Engineering, Chitkara University Institute of Engineering and Technology, Chitkara University, Rajpura, Punjab, India; Department of Computer Science and Engineering, Chandigarh University, Mohali, Punjab, India",2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),"23 Nov 2023","2023","","","1","6","Human Brain consists of billions of neurons which play an imperative role in maintaining and controlling the behavior of the complete structure of the body as external or internal sensory stimuli. In today's world, the rapid development of drugs and alcoholic things more affecting the human mind. This is the reason for the spreading of several issues in health that are increasing day by day. To understand the cognitive things of human behavior is to analyze the signals of the brain. This can be visualized through the sensorimotor cortex which is the part of the brain that is associated with coordinating the muscle motions and the perception or thinking skills of the human brain. In this article, an experimental study is conducted for emotional analysis of drug addicted patients using Virtual Reality therapy. In the study, EEG signals of 12 patients are recorded using Emotiv Insight 5-channel EEG device and analyzed using the Emotiv Pro software. The study outcomes indicates that Virtual Reality therapy has a significant positive impact on stress and focus of the drug addicted patients.","2473-7674","979-8-3503-3509-5","10.1109/ICCCNT56998.2023.10307713","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10307713","Brain Computer Interaction;Drug Addiction;EEG Signals;Emotional Analysis;Virtual Reality Therapy","Drugs;Wavelet transforms;Visualization;Anxiety disorders;Medical treatment;Virtual reality;Electroencephalography","","8","","26","IEEE","23 Nov 2023","","","IEEE","IEEE Conferences"
"EEG asymmetry and anxiety","H. -R. Yang; J. -E. Park; S. Choi; J. -H. Sohn; J. -M. Lee","Department of Psychology, Brain Research Institute, Chungnam National University, Daejeon, South Korea; Department of Psychology, Brain Research Institute, Chungnam National University, Daejeon, South Korea; Department of Psychology, Brain Research Institute, Chungnam National University, Daejeon, South Korea; Department of Psychology, Brain Research Institute, Chungnam National University, Daejeon, South Korea; Department of Psychology, University of Minnesota, Minneapolis, MN, USA",2013 International Winter Workshop on Brain-Computer Interface (BCI),"22 Apr 2013","2013","","","54","55","This study examined a relationship between anxiety scale score and two types of EEG asymmetry: resting state and fear-induced state. 30 adults who have no psychiatric history were participated, and their EEGs were recorded while resting and watching emotion-inducing film clips respectively. The result was obtained that there is no significant difference in resting state EEG asymmetry between high and low anxiety, but there is a meaningful difference in fear-induced frontal EEG asymmetry between two anxiety levels. The group with high anxiety level shows greater EEG asymmetry. We discussed the way how this result could be applied to anxiety treatment.","","978-1-4673-5974-0","10.1109/IWW-BCI.2013.6506628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6506628","EEG;emotion;EEG asymmetry;Fear;Anxiety","Electroencephalography;Training;Educational institutions;Psychology;Biological control systems;History;Films","","2","","3","IEEE","22 Apr 2013","","","IEEE","IEEE Conferences"
"Reinforcement Learning using EEG signals for Therapeutic Use of Music in Emotion Management","E. Dutta; A. Bothra; T. Chaspari; T. Ioerger; B. J. Mortazavi","Department of Computer Science & Engineering, Texas A&M University, Texas; Department of Computer Science & Engineering, Texas A&M University, Texas; Department of Computer Science & Engineering, Texas A&M University, Texas; Department of Computer Science & Engineering, Texas A&M University, Texas; Department of Computer Science & Engineering, Texas A&M University, Texas",2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"27 Aug 2020","2020","","","5553","5556","Prolonged influence of negative emotions can result in clinical depression or anxiety, and while many prescribed techniques exist, music therapy approaches, coupled with psychotherapy, have shown to help lower depressive symptoms, supplementing traditional treatment approaches. Identifying the appropriate choice of music, therefore, is of utmost importance. Selecting appropriate playlists, however, are challenged by user feedback that may inadvertently select songs that amplify the negative effects. Therefore, this work uses electroencephalogram (EEG) that automatically identifies the emotional impact of music and trains a reinforcement-learning approach to identify an adaptive personalized playlist of music to lead to improved emotional states. This work uses data from 32 users, collected in the publicly available DEAP dataset, to select songs for users that guide them towards joyful emotional states. Using a domain-specific reward-shaping function, a Q-learning agent is able to correctly guide a majority of users to the target emotional states, represented in a common emotion wheel. The average angular error of all users is 57°, with a standard deviation of 2.8 and the target emotional state is achieved.Clinical relevance- Music therapy for improving clinical depression and anxiety can be supplemented by additional emotion-guided music decisions in remote and personal settings by using automated techniques to capture emotional state and identify music that best guides users to target joyful states.","2694-0604","978-1-7281-1990-8","10.1109/EMBC44109.2020.9175586","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9175586","","Electroencephalography;Standards;Brain modeling;Learning (artificial intelligence);Multiple signal classification;Wheels;Medical treatment","Electroencephalography;Emotions;Humans;Learning;Music;Reinforcement, Psychology","4","","17","IEEE","27 Aug 2020","","","IEEE","IEEE Conferences"
"Healing Hands for Depressed People (D-HH) through analysis of human body signals to predict the level of depression and recommendation of suitable remedy","K. Waghavkar; S. Chandurkar","Department of Computer Engineering Pimpri Chinchwad College of Engineering, Pune, India; Department of Computer Engineering Pimpri Chinchwad College of Engineering, Pune, India",2016 International Conference on Computing Communication Control and automation (ICCUBEA),"23 Feb 2017","2016","","","1","6","The present life style of human beings across globe is full of activities performed with stress due to competition, volume of work, travel needs, planning and defined performance. The study shows that the most altered age group is the young individuals who contributes a lot of development activities. The survey shows that, one of five individual are prone to depression which may lead to nonperformance or attempt to destroy self from life. Dealing with the real time scenarios with life full of stress, it is hard for a depressed individual to go to a psychiatrist and take traditional treatment. We propose the formalization of the analytic system based on machine learning algorithm, which will be able to predict the level of depression for individuals and suggest respective remedy. The “Healing Hands for Depressed People System” (D-HH) performs to accurately correlate the level of depression and justify the remedy given with the opinions of experts in domain. This significantly reduces the problem of primary consultancy from doctor and traditional treatment. The D-HH efficiently fits in the pockets of people in the modern era and add ease in this hectic life. We present the results of the implementation which shows considerably accurate and reliable discretion of the affected.","","978-1-5090-3291-4","10.1109/ICCUBEA.2016.7860029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7860029","Depression;predict;human body;analysis;therapy;EEG;Heart rate;Blood pressure","Electroencephalography;Biomedical monitoring;Real-time systems;Computers;Training data;Medical treatment;Heart rate","","1","","16","IEEE","23 Feb 2017","","","IEEE","IEEE Conferences"
"Detecting and Analyzing Depression: A Comprehensive Survey of Assessment Tools and Techniques","M. Rahul; D. S; S. R; L. B","Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore",2023 International Conference on Inventive Computation Technologies (ICICT),"1 Jun 2023","2023","","","749","753","Nowadays, clinical depression is a prevalent yet severe mood disorder that occurs with aging. Since sadness has an influence on the mind, it can be hard for the patient to tell the doctor about their situation. Typically utilized diagnostic tools include questionnaires or interview-style evaluations of the symptoms, and also using laboratory tests to see if the depressive symptoms coexist with other severe diseases. In recent years, a variety of approaches have been created to aid the diagnosis of depression, thanks to the development using convolutional neural networks with machine learning. Being a multifactorial condition, depression should be diagnosed using a multimodal approach for an efficient examination. In order to analyze depression using emotion recognition, a number have been created for both unimodal and multimodal approaches. This study reviews these approaches. When compared to multimodal approaches, which combine one or more features, the unimodal approach takes into account just one attribute from the range of facial expressions, voice, etc. for depression identification. This study also discusses many techniques for detecting depression in speech, including spectral, acoustic, and fisher vector algorithms, as well as approaches for extracting face characteristics from speech. The survey includes the current research on emotion recognition that uses auditory and visual information to identify depression. The survey demonstrates that multimodal methods and deep learning techniques outperform unimodal approaches in the study of depression for depression detection.","2767-7788","979-8-3503-9849-6","10.1109/ICICT57646.2023.10134165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10134165","CNN;Emotion recognition;Depression detection;Clinical Equipment;Depression;FACS;Active Appearance Model(AAM);Support Vector Machine(SVM);Teager Energy Operator (TEO)","Surveys;Support vector machines;Emotion recognition;Visualization;Mood;Face recognition;Medical services","","3","","13","IEEE","1 Jun 2023","","","IEEE","IEEE Conferences"
"Investigating Emotion EEG Patterns for Depression Detection with Attentive Simple Graph Convolutional Network","Y. -T. Lan; D. Peng; W. Liu; Y. Luo; Z. Mao; W. -L. Zheng; B. -L. Lu","Department of Computer Science and Engineering, Shanghai Jiao Tong University; RuiJin-Mihoyo Laboratory, Clinical Neuroscience Center, Rui-Jin Hospital, Shanghai Jiao Tong University School of Medicine; RuiJin-Mihoyo Laboratory, Clinical Neuroscience Center, Rui-Jin Hospital, Shanghai Jiao Tong University School of Medicine; RuiJin-Mihoyo Laboratory, Clinical Neuroscience Center, Rui-Jin Hospital, Shanghai Jiao Tong University School of Medicine; Clinical Neuroscience Center, Ruijin Hospital Luwan Branch, Shanghai Jiao Tong University School of Medicine; Department of Computer Science and Engineering, Shanghai Jiao Tong University; Department of Computer Science and Engineering, Shanghai Jiao Tong University",2023 45th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"11 Dec 2023","2023","","","1","4","Depression severely limits daily functioning, diminishes quality of life and possibly leads to self-harm and suicide. Noninvasive electroencephalography (EEG) has been shown effective as biomarkers for objective depression diagnose and treatment response prediction, and dry EEG electrodes further extend its availability for clinical use. Even though many efforts have been made to identify depression biomarkers, searching reliable EEG biomarkers for depression detection remains challenging. This work presents a systematic investigation of capabilities of emotion EEG patterns for depression detection using a dry EEG electrode system. We design an emotion elicitation paradigm with happy, neutral and sad emotions and collect EEG signals during film watching from 33 depressed patients and 40 healthy controls. The mean activation levels at frontal and temporal sites in the alpha, beta and gamma bands of the depressed group are different to those of the healthy group, indicating the impacts of depressive symptoms on the emotion experiences. To leverage the topology information among EEG channels for emotion recognition and depression detection, an Attentive Simple Graph Convolutional network is built. The deep depression-health classifier achieves a sensitivity of 81.93% and a specificity of 91.69% on the happy emotions, suggesting the promising use of the emotion neural patterns for distinguishing the depressed patients from the healthy controls.","2694-0604","979-8-3503-2447-1","10.1109/EMBC40787.2023.10340623","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10340623","","Electrodes;Support vector machines;Systematics;Sensitivity;Biomarkers;Depression;Electroencephalography","Humans;Depression;Quality of Life;Emotions;Electroencephalography;Biomarkers","2","","13","IEEE","11 Dec 2023","","","IEEE","IEEE Conferences"
"An EEG-based Brain-Computer Interface for Stress Analysis","S. N; J. J","Jayachitra J Dept of Information Technology, IFET College of Engineering, Villupuram, India; Jayachitra J Dept of Information Technology, IFET College of Engineering, Villupuram, India",2023 Second International Conference on Electronics and Renewable Systems (ICEARS),"5 Apr 2023","2023","","","355","360","This research study aims to investigate the feasibility of using EEG data and machine learning algorithms to accurately identify the levels of stress experienced by people with autism spectrum disorder (ASD) as well as those who are developing ordinarily. You mentioned that the study utilized both conventional brain-computer interface (BCI) methods and deep learning methodologies to train subject-dependent models using mental arithmetic stress induction and EEG data. The results of the study showed that a multiclass two-layer LSTM RNN deep learning classifier could accurately identify mental stress based on continuous EEG, which could potentially lead to the development of an EEG-based BCI that could monitor and relieve mental stress in real-time in teenagers who are autistic as well as those who are neurotypical. This article also suggested that this approach could potentially pave the way for an effective therapy that does not rely on the use of pharmaceuticals for those who suffer from anxiety disorders. However, it is important to note that further research is needed to validate the results and determine the feasibility of implementing such a therapy. As for the citation, I would need more information on the specific study you are referring to in order to provide a proper citation.","","979-8-3503-4664-0","10.1109/ICEARS56392.2023.10085458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10085458","Recognition of Emotion;Long Short-Term Memory Networks;Emotion Images;Feature Collection;Feature Extraction;Recurrent Neural Networks;Classification","Deep learning;Anxiety disorders;Human factors;Feature extraction;Brain modeling;Electroencephalography;Brain-computer interfaces","","1","","20","IEEE","5 Apr 2023","","","IEEE","IEEE Conferences"
"EEG based functional connectivity reflects cognitive load during emotion regulation","M. Xing; R. Tadayonnejad; A. MacNamara; O. Ajilore; K. L. Phan; H. Klumpp; A. Leow","Department of Bioengineering, University of Illinois at Chicago, Chicago, IL; Department of Psychiatry, Chicago, IL; Department of Psychiatry, Chicago, IL; Department of Psychiatry, Chicago, IL; Department of Anatomy and Cell Biology and Psychology, The Graduate Program in Neuroscience, Chicago, IL; Department of Psychiatry, Chicago, IL; Department of Psychiatry, Chicago, IL",2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI),"16 Jun 2016","2016","","","771","774","Patients suffering from anxiety disorders commonly have difficulties in emotion regulation. Understanding underlying brain network dysfunction can provide insight into their pathophysiology. Electroencephalography (EEG)-based functional connectivity contains high temporal information of brain network dynamics. We acquired EEG recordings in the resting state and during a series of emotion regulation tasks (ERT) from a sample of 20 subjects with anxiety disorders and 20 healthy controls. To generate EEG-based functional connectomes, we used the weighted phase lag index (WPLI), a phase based connectivity metric. Graph theory measures of clustering coefficient (CC) and characteristic path length (CPL) were computed to characterize properties of these complex functional networks. Results showed that in the theta band network integration measured using CPL increased as the cognitive load during the emotion regulation task increased, with a complementary trend in the CC. In summary, the EEG-based functional connectome is highly dynamic and task dependent, thus may serve as a promising non-invasive biomarker for diagnosis and treatment evaluation.","1945-8452","978-1-4799-2349-6","10.1109/ISBI.2016.7493380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7493380","EEG;Weighted Phase Lag;brain connectomics;graph theory;emotion regulation;Characteristic path length;clustering coefficient","Electroencephalography;Pollution measurement;Market research;Graph theory;Atmospheric measurements;Particle measurements;Time-frequency analysis","","12","","12","IEEE","16 Jun 2016","","","IEEE","IEEE Conferences"
"Deep Multimodal Fusion for Depression Detection: Integrating Facial Emotion Recognition, EEG Signals and Audio Cues","J. Thirunavukkarasu; M. Shiny Jebamathi; P. Varshaa; M. Nisha; M. Nanthitha Sri","Computer Science and Engineering, Sri Sairam Institute Of Technology, Chennai; Computer Science and Engineering, Sri Sairam Institute Of Technology, Chennai; Computer Science and Engineering, Sri Sairam Institute Of Technology, Chennai; Computer Science and Engineering, Sri Sairam Institute Of Technology, Chennai; Computer Science and Engineering, Sri Sairam Institute Of Technology, Chennai","2024 International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)","25 Jul 2024","2024","","","1","7","Presenting a thorough and advanced multimodal approach to depression identification is the aim of this work. This method combines psychological assessments with state-of-the-art technologies. This study aims to provide a multifaceted understanding of depression diagnosis and treatment. Facial expression recognition, electroencephalography (EEG) signals, audio signals, conventional questionnaire data, and exclusive video courses are all combined to achieve this. Our approach not only pinpoints those who are vulnerable, but it also offers a customized, all-inclusive framework for timely intervention and specialized mental health care. Real-time physiological reactions, emotional expressions, self-reported sentiments, and therapeutic interventions are synthesized to achieve this. Depression is a crippling mental illness that affects people of all different ethnicities and is still a global problem. The intricacies of depressive feelings are difficult to fully capture by traditional diagnostic techniques, which frequently rely on self-reported questionnaires and professional examinations.","","979-8-3503-8944-9","10.1109/ACCAI61061.2024.10602143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10602143","Facial Emotion Recognition;EEG signals;Comprehensive;Therapy sessions;Counseling","Emotion recognition;Face recognition;Mental health;Streaming media;Depression;Electroencephalography;Real-time systems","","1","","15","IEEE","25 Jul 2024","","","IEEE","IEEE Conferences"
