"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evolving Signal Processing for Brain–Computer Interfaces","S. Makeig; C. Kothe; T. Mullen; N. Bigdely-Shamlo; Z. Zhang; K. Kreutz-Delgado","Swartz Center for Computational Neuroscience, Institute for Neural Computation and the Department of Neurosciences, University of California, San Diego, La Jolla, CA, USA; Swartz Center for Computational Neuroscience, Institute for Neural Computation, University of California, San Diego, La Jolla, CA, USA; Swartz Center for Computational Neuroscience, Institute for Neural Computation and the Department of Cognitive Science, University of California, San Diego, La Jolla, CA, USA; Swartz Center for Computational Neuroscience, Institute for Neural Computation and the Department of Electrical and Computer Engineering, University of California, San Diego, La Jolla, CA, USA; Swartz Center for Computational Neuroscience, Institute for Neural Computation and the Department of Electrical and Computer Engineering, University of California, San Diego, La Jolla, CA, USA; Swartz Center for Computational Neuroscience, Institute for Neural Computation and the Department of Electrical and Computer Engineering, University of California, San Diego, La Jolla, CA, USA",Proceedings of the IEEE,"10 May 2012","2012","100","Special Centennial Issue","1567","1584","Because of the increasing portability and wearability of noninvasive electrophysiological systems that record and process electrical signals from the human brain, automated systems for assessing changes in user cognitive state, intent, and response to events are of increasing interest. Brain-computer interface (BCI) systems can make use of such knowledge to deliver relevant feedback to the user or to an observer, or within a human-machine system to increase safety and enhance overall performance. Building robust and useful BCI models from accumulated biological knowledge and available data is a major challenge, as are technical problems associated with incorporating multimodal physiological, behavioral, and contextual data that may in the future be increasingly ubiquitous. While performance of current BCI modeling methods is slowly increasing, current performance levels do not yet support widespread uses. Here we discuss the current neuroscientific questions and data processing challenges facing BCI designers and outline some promising current and future directions to address them.","1558-2256","","10.1109/JPROC.2012.2185009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6169943","Blind source separation (BSS);brain–computer interface (BCI);cognitive state assessment;effective connectivity;electroencephalogram (EEG);independent component analysis (ICA);machine learning (ML);multimodal signal processing;signal processing;source-space modeling;transfer learning","Electroencephalography;Scalp;Brain models;Signal processing;Data models;Biomedical signal processing;Computer interfaces;Brain computer interfaces","","117","5","227","IEEE","14 Mar 2012","","","IEEE","IEEE Journals"
"EEG different frequency sound response identification using neural network and fuzzy techniques","R. Sudirman; A. C. Koh; N. M. Safri; W. B. Daud; N. H. Mahmood","Faculty of Electrical Engineering, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Faculty of Electrical Engineering, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Faculty of Electrical Engineering, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Faculty of Electrical Engineering, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Faculty of Electrical Engineering, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia",2010 6th International Colloquium on Signal Processing & its Applications,"9 Aug 2010","2010","","","1","6","Electroencephalographic (EEG) technology has enabled effective measurement of human brain activity, as functional and physiological changes within the brain may be registered by EEG signals. In this paper, electrical activity of human brain due to sound waves of different frequency, i.e. 40 Hz, 500 Hz, 5000 Hz and 15000 Hz, is studied based on EEG signals. Several signal processing techniques, i.e. Principle Component algorithm, Discrete Wavelet Transform and Fast Fourier Transform, are applied onto the raw EEG signal to extract useful information and specific characteristics from the EEG signals. This research has shown that the characteristics of EEG signals differ with respect to different frequency of sound waves, and hence the EEG signal can be identified with suitable characterization algorithm using artificial intelligent techniques, such as Artificial neural network, fuzzy logic and adaptive neuro-fuzzy system.","","978-1-4244-7122-5","10.1109/CSPA.2010.5545237","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5545237","EEG;sound wave;signal processing;artificial intelligent","Electroencephalography;Frequency;Neural networks;Fuzzy neural networks;Signal processing algorithms;Humans;Brain;Discrete wavelet transforms;Fast Fourier transforms;Signal processing","","3","","6","IEEE","9 Aug 2010","","","IEEE","IEEE Conferences"
"EEG signal classification using Principal Component Analysis with Neural Network in Brain Computer Interface applications","R. Kottaimalai; M. P. Rajasekaran; V. Selvam; B. Kannapiran","Kalasalingam University, Krishnankoil, Tamil Nadu, IN; Kalasalingam University, Krishnankoil, Tamil Nadu, IN; Kalasalingam University, Krishnankoil, Tamil Nadu, IN; Kalasalingam University, Krishnankoil, Tamil Nadu, IN","2013 IEEE International Conference ON Emerging Trends in Computing, Communication and Nanotechnology (ICECCN)","13 Jun 2013","2013","","","227","231","Brain Computer Interface (BCI) is the method of communicating the human brain with an external device. People who are incapable to communicate conventionally due to spinal cord injury are in need of Brain Computer Interface. Brain Computer Interface uses the brain signals to take actions, control, actuate and communicate with the world directly using brain integration with peripheral devices and systems. Brain waves are in necessitating to eradicate noises and to extract the valuable features. Artificial Neural Network (ANN) is a functional pattern classification technique which is trained all the way through the error Back-Propagation algorithm. In this paper in order to classify the mental tasks, the brain signals are trained using neural network and also using Principal Component Analysis with Artificial Neural Network. Principal Component Analysis (PCA) is a dominant tool for analyzing data and finding patterns in it. In Principal Component Analysis, data compression is possible and it projects higher dimensional data to lower dimensional data. By using Principal Component Analysis with Neural Network, the redundant data in the dataset is eliminated first and the obtained data is trained using Neural Network. EEG data for five cognitive tasks from five subjects are taken from the Colorado University database. Pattern classification is applied for the data of all tasks of one subject using Neural Network and also using Principal Component Analysis with Neural Network. Finally it is observed that the correctly classified percentage of data is better in Principal Component Analysis with Neural Network compared to Neural Network alone.","","978-1-4673-5036-5","10.1109/ICE-CCN.2013.6528498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6528498","Artificial Neural Network (ANN);Brain Computer Interface (BCI);Electroencephalogram (EEG);Principal Component Analysis (PCA)","Biological neural networks;Principal component analysis;Artificial neural networks;Electroencephalography;Training;Brain-computer interfaces;Brain modeling","","56","","13","IEEE","13 Jun 2013","","","IEEE","IEEE Conferences"
"HMT: An EEG Signal Classification Method Based on CNN Architecture","M. He; Y. Wu; Z. Li; S. Wang; W. Li; W. Zhou; H. Rong; J. Wang","School of Medical Instruments Shanghai University of Medicine & Health Sciences, Shanghai, China; School of Medical Imaging Shanghai University of Medicine & Health Sciences, Shanghai, China; School of Medical Technology Shanghai University of Medicine & Health Sciences, Shanghai, China; School of mathematics and statistics Fuyang Normal University, Fuyang, China; School of Nursing and Health Management Shanghai University of Medicine & Health Sciences, Shanghai, China; College of Information Engineering Nanjing University of Finance & Economics, Nanjing, China; Information Engineering College China Jiliang University, Hangzhou, China; School of Business and Management Shanghai International Studies University, Shanghai, China","2023 5th International Conference on Intelligent Control, Measurement and Signal Processing (ICMSP)","12 Jul 2023","2023","","","1015","1018","Electroencephalogram (EEG) is a non-invasive measurement method commonly used to measure human brain electrical activity,It detects weak electrical signals generated by neurons in the cerebral cortex by placing electrodes on the scalp. These signals reflect the bioelectricity activity of the brain when thinking, perception, emotion, behavior and other activities.It has been used to measure the electrical activity of the human brain. The EEG signal can reflect the changes in the brain waves of the human brain, it is widely used to help doctors diagnose neurological diseases such as motor neurons, Parkinson's disease, and spasms. Low signal-to-noise ratio and high nonlinearity are the characteristics of EEG signals, which bring great challenges and difficulties to the analysis and recognition of EEG signals. Convolutional neural network is a great breakthrough technology in deep learning, which can deal with highly nonlinear and noisy data, and can automatically learn the distribution characteristics of EEG data and the classification of EEG signals. Compared with traditional EEG signal classification methods, the convolutional neural network has great potential in dealing with complex EEG signals. In this paper, a deep learning algorithm model HMT based on CNN architecture is proposed to process EEG signals, and its application in EEG signal classification and recognition is discussed.","","979-8-3503-3603-0","10.1109/ICMSP58539.2023.10170904","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10170904","EEG;deep learning;classification;convolutional neural network","Deep learning;Neurons;Scalp;Pattern classification;Electric variables measurement;Signal processing algorithms;Signal processing","","2","","14","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Effects of Input Neuron Mapping Coordinates in Spiking Neural Network on the Motor Imagery EEG Signals Classification","G. Zhan; H. Su; P. Wang; L. Niu; J. Bin; W. Mu; X. Zhang; H. Jiang; L. Zhang; X. Kang","Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Institute of AI & Robotics, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Institute of AI & Robotics, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Institute of AI & Robotics, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Ji Hua Laboratory, Foshan, Guangdong Province, China; Ji Hua Laboratory, Foshan, Guangdong Province, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Institute of AI & Robotics, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Institute of AI & Robotics, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Mental Center, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Institute of AI & Robotics, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Institute of AI & Robotics, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China",2023 11th International Winter Conference on Brain-Computer Interface (BCI),"28 Mar 2023","2023","","","1","4","Spiking neural network (SNN), the third generation of the artificial neural network, uses the same computational principles as Spatio-temporal brain data (STBD) generation, so it can be used as an effective tool to learn and understand STBD. When using SNN to process STBD, mapping of input neurons is a problem to be considered. This paper investigates the influence of changing the mapping coordinates of input neurons on motor imagery EEG signal classification. The results show that the coordinate change affects the interaction between the input neuron and its neighboring neurons, and causes the classification accuracy to change, but the impact mechanism is unknown.","2572-7672","978-1-6654-6444-4","10.1109/BCI57258.2023.10078628","National Natural Science Foundation of China; Fudan University; Ji Hua Laboratory; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10078628","SNN;BCI;input neuron mapping;EEG","Neurons;Pattern classification;Artificial neural networks;Electroencephalography;Brain-computer interfaces;Biological neural networks","","","","9","IEEE","28 Mar 2023","","","IEEE","IEEE Conferences"
"Removing EOG Artifacts from the Resting State EEG Signal of Methamphetamine Addicts by ICA Algorithms","G. Zhan; H. Su; P. Wang; L. Niu; J. Bin; W. Mu; X. Zhang; H. Jiang; L. Zhang; X. Kang","Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of AI & Robotics, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of AI & Robotics, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of AI & Robotics, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Ji Hua Laboratory, Foshan, Guangdong Province, China; Ji Hua Laboratory, Foshan, Guangdong Province, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of AI & Robotics, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of AI & Robotics, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Mental Center, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of AI & Robotics, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China; Shanghai Engineering Research Center of AI & Robotics, MOE Frontiers Center for Brain Science, State Key Laboratory of Medical Neurobiology, Laboratory for Neural Interface and Brain Computer Interface, Engineering Research Center of AI & Robotics, Ministry of Education, Institute of AI & Robotics, Institute of Meta-Medical, Academy for Engineering & Technology, Fudan University, Shanghai, China",2023 11th International Winter Conference on Brain-Computer Interface (BCI),"28 Mar 2023","2023","","","1","5","EEG signal contains a wealth of information about brain activity, but the recording process is inevitably contaminated by EOG artifacts. An effective method to remove EOG artifacts can provide a guarantee for subsequent EEG analysis. In this paper, we compare the performance of four ICA algorithms in removing EOG artifacts from EEG signals of methamphetamine addicts. From the perspective of time domain and power spectral density, all the four algorithms can effectively remove the EOG artifacts without obvious difference. In terms of PSNR, MI and processing speed, FastICA algorithm can achieve higher processing speed and reconstruct signals better than the other three algorithms.","2572-7672","978-1-6654-6444-4","10.1109/BCI57258.2023.10078556","National Natural Science Foundation of China; Fudan University; Ji Hua Laboratory; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10078556","EEG;Artifact removal;Independent component analysis (ICA);EOG","Electrooculography;Brain;Electroencephalography;Brain-computer interfaces;Recording;Time-domain analysis","","1","","8","IEEE","28 Mar 2023","","","IEEE","IEEE Conferences"
"Automated Detection of Brain Tumor in EEG Signals Using Artificial Neural Networks","M. Murugesan; R. Sukanesh","Anna University, Trichy; Department of ECE, Thiagarajar College of Engineering, Madurai, India","2009 International Conference on Advances in Computing, Control, and Telecommunication Technologies","12 Jan 2010","2009","","","284","288","Electroencephalograms (EEGs) are progressively emerging as a significant measure of brain activity and they possess immense potential for the diagnosis and treatment of mental and brain diseases and abnormalities. EEGs are up-and-coming as a vital methodology to suit the increasing global demand for more affordable and effectual clinical and healthcare services, with fitting interpretation methods. This research paper presents an automated system for efficient detection of brain tumors in EEG signals using artificial neural networks (ANNs). The ANN employed in the proposed system is feedforward backpropagation neural network. Generally, the EEG signals are bound to contain an assortment of artifacts from both subject and equipment interferences along with essential information regarding abnormalities and brain activity (responses to certain stimuli). Initially, adaptive filtering is applied to remove the artifacts present in the EEG signal. Subsequently, generic features present in the EEG signal are extracted using spectral estimation. Specifically, spectral analysis is achieved by using Fast Fourier Transform that extracts the signal features buried in a wide band of noise. The clean EEG data thus obtained is used as training input to the feedforward backpropagation neural network. The trained feedforward backpropagation neural network when fed with a test EEG signal, effectively detects the presence of brain tumor in the EEG signal. The experimental results demonstrate the effectiveness of the proposed system in artifacts removal and brain tumor detection.","","978-1-4244-5321-4","10.1109/ACT.2009.77","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5376690","Adaptive filtering;Artifacts;Brain;Brain tumor;Electroencephalogram (EEG);Electrooculogram (EOG);Fast Fourier Transform (FFT);Spectral analysis;Artificial Neural Networks (ANNs);Feedforward backpropagation neural network.","Neoplasms;Electroencephalography;Artificial neural networks;Brain;Backpropagation;Biological neural networks;Neural networks;Feedforward neural networks;Data mining;Diseases","","21","","20","IEEE","12 Jan 2010","","","IEEE","IEEE Conferences"
"Signal processing challenges for single-trial analysis of simultaneous EEG/fMRI","P. Sajda","Departments of Biomedical Engineering and Radiology, Columbia University, New York, NY, USA",2009 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"13 Nov 2009","2009","","","29","30","A relatively new neuroimaging modality is simultaneous EEG and fMRI. Though such a multi-modal acquisition is attractive given that it can exploit the temporal resolution of EEG and spatial resolution of fMRI, it comes with unique signal processing and pattern classification challenges. In this paper I will review some our work at developing signal processing and pattern recognition for analysis of simultaneous EEG and fMRI, with a focus on those algorithms enabling a single-trial analysis of the neural signal. In general, these algorithms exploit the multivariate nature of the EEG, removing MR induced artifacts and classifying event-related signals that then can be correlated with the BOLD signal to yield specific fMRI activations.","1558-4615","978-1-4244-3296-7","10.1109/IEMBS.2009.5335024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5335024","","Signal processing;Signal analysis;Electroencephalography;Signal processing algorithms;Spatial resolution;Pattern analysis;Algorithm design and analysis;Neuroimaging;Signal resolution;Pattern classification","Algorithms;Brain Mapping;Diagnosis, Computer-Assisted;Humans;Magnetic Resonance Imaging;Reproducibility of Results;Sensitivity and Specificity;Signal Processing, Computer-Assisted;Subtraction Technique","2","","24","IEEE","13 Nov 2009","","","IEEE","IEEE Conferences"
"Development and Application of EEG Signal Pattern Analysis and Artificial Neural Network for Indoor Comfort Measurement","M. Arnesano","Faculty of Engineering, Università Telematica eCampus, Novedrate, Italy",2024 IEEE International Workshop on Metrology for Living Environment (MetroLivEnv),"6 Aug 2024","2024","","","11","15","Wearable sensors applied to Personal Comfort Systems (PCS) can enable advanced and energy-efficient indoor environmental management solutions. Different physiological signals are commonly used to measure the human thermal comfort. Among them, the EEG is one of the most promising given its strong relationship with mental state, that is correlated to thermal perception. EEG brainwaves are used as features to detect human thermal comfort. However previous research did not turn out to identify a set of features with the same level of correlation with the thermal comfort. The reason of that relies on the fact that different experiments used different references, such as thermal comfort, thermal sensation, or environmental temperature. Moreover, brainwaves are influenced also by other human factors that lead to low accuracies. This paper presents a novel approach for EEG signal processing, coupled with a new labelling method of human thermal perception. A commercial 4-channels EEG wearable device has been used to collect the brain activity of 52 subjects exposed to different thermal conditions (cold, neutral and warm). The subjective thermal perception has been also collected using a common questionnaire based on 3 scores: thermal comfort, thermal sensation and thermal preference. After signal pre-processing, a short-time windowing technique has been applied to the cleaned EEG signal and a set of statistical, time-frequency, log-covariance and other features have been calculated to analyse the signal pattern. The dataset has been labelled using a parameter that is the result of a permutation and combination analysis applied to the 3 scores collected with the questionnaires. Finally, an artificial neural network (multilayer perceptron - MLP) has been trained to predict thermal label using the EEG signal as unique input. The model achieved an accuracy of 90% in the prediction of 5 different levels of thermal perception, demonstrating the high potential of the proposed approach.","","979-8-3503-8501-4","10.1109/MetroLivEnv60384.2024.10615866","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10615866","wearable sensors;personal comfort models;thermal comfort;EEG signal processing;artificial neural network","Temperature sensors;Time-frequency analysis;Accuracy;Temperature;Artificial neural networks;Signal processing;Brain modeling","","","","22","IEEE","6 Aug 2024","","","IEEE","IEEE Conferences"
"EEG Signal Classification with Deep Neural Networks using Visibility Graphs","T. G. Altundogan; M. Karaköse","Department of Computer Engineering, Manisa Celal Bayar University, Manisa, Turkey; Department of Computer Engineering, Firat University, Elazig, Turkey",2022 26th International Conference on Information Technology (IT),"30 Mar 2022","2022","","","1","4","EEG signals are data presented by collecting electrical activities in the brain at a certain frequency. Today, applications using the EEG signal are implemented in many fields such as medicine, computer science, robotic. Visibility Graphs, on the other hand, are graphs where certain points are associated according to their visibility features in order to perform mapping and operations in areas such as robotics. Visibility Graphs are also used today to express signals. In this study, the EEG signals are expressed with visibility graphs after certain pre-processing. Then, the classification of the obtained graph depending on the clique and degree features was carried out by using deep artificial neural networks. EEG signals have a very noisy nature, and complex pre-processing and feature extractions are used in applications using EEG signals. In the proposed method, EEG signals are subjected to very simple pre-processing and classified with a 95% success rate.","","978-1-6654-2127-0","10.1109/IT54280.2022.9743535","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9743535","EEG;Electrocelen ography;Visibility Graphs;Deep Learning","Deep learning;Computer science;Pattern classification;Artificial neural networks;Signal processing;Feature extraction;Electroencephalography","","1","","21","IEEE","30 Mar 2022","","","IEEE","IEEE Conferences"
