"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Spatial Attention-based Graph Convolutional Network for EEG-based Motor Imagery Classification","B. Wang; M. Miao","School of Information Engineering, Huzhou University, Huzhou, China; School of Information Engineering, Huzhou University, Huzhou, China",2024 16th International Conference on Intelligent Human-Machine Systems and Cybernetics (IHMSC),"29 Oct 2024","2024","","","24","28","Brain-computer interface technology is now widely used in rehabilitating patients with physical movement disorders. However, the limitation of the decoding ability of motor imagery EEG signals still hinders the development of brain-computer interface technology. In this paper, we propose a spatial attention-based graph convolutional network (SAGCN) for motor imagery EEG signal classification. First, we initialize the adjacency matrix based on the functional connectivity of the raw EEG signals and extract the DE features of the original EEG signals as input. Subsequently, the channels that are of greater significance to the motor imagery EEG signals are identified through the spatial attention mechanism. Finally, the graph convolutional network is combined with the spatial attention matrix to obtain the classification results of EEG signals. We conduct experiments on two public datasets and the experimental results show that our proposed model outperforms current state-of-the-art methods.","2157-8982","979-8-3315-4024-1","10.1109/IHMSC62065.2024.00014","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10731514","motor imagery;EEG classification;graph convolutional networks;brain-computer interface","Graph convolutional networks;Human-machine systems;Pattern classification;Motors;Feature extraction;Brain modeling;Electroencephalography;Brain-computer interfaces;Decoding;Cybernetics","","","","13","IEEE","29 Oct 2024","","","IEEE","IEEE Conferences"
"Deep Learning Classification of two-class Motor Imagery EEG signals using Transfer Learning","N. Shajil; M. Sasikala; A. M. Arunnagiri","Department of Electronics and Communication Engineering, College of Engineering Guindy, Anna University, Chennai, India; Department of Electronics and Communication Engineering, College of Engineering Guindy, Anna University, Chennai, India; Department of Electronics and Communication Engineering, College of Engineering Guindy, Anna University, Chennai, India",2020 International Conference on e-Health and Bioengineering (EHB),"10 Dec 2020","2020","","","1","4","Motor imagery (MI) based Brain-Computer Interface (BCI) system uses Electroencephalography (EEG) signals recorded over the scalp during imagination of motor movements to control a computer or mobility device. Such systems require a method to classify the acquired MI EEG signals into commands. In this study, three pre-trained Convolutional Neural Networks (CNN) models- AlexNet, ResNet50 and InceptionV3 are studied for the classification of Left-hand and Right-hand MI EEG signals. BCI Competition IV dataset 2a and acquired MI EEG dataset of nine healthy subjects are used to study the classification performance. Classification results show that transfer learning using InceptionV3 model produces the highest classification accuracy of $82.78 \pm 4.87$% for the BCI competition dataset and $83.79 \pm 3.49$% for the acquired dataset compared to AlexNet and ResNet50. Hence, InceptionV3 CNN can be used to efficiently classify MI signals in BCI systems to aide people suffering from neuromuscular disorders by replacing or restoring motor functions.","2575-5145","978-1-7281-8803-4","10.1109/EHB50910.2020.9280257","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9280257","Motor imagery EEG;Convolutional Neural Network (CNN);Pre-trained classifier;Transfer learning;Brain-Computer Interface (BCI)","Electroencephalography;Brain modeling;Task analysis;Feature extraction;Spectrogram;Training;Convolution","","13","","17","IEEE","10 Dec 2020","","","IEEE","IEEE Conferences"
"REEG-BTCNet: A Novel Framework for EEG-based Motor Imagery Classification","J. Liu; H. Li","School of Computer Science, Northwestern Polytechnical University, Xi’an, China; Northeast Forestry University, Harbin, China",2022 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"2 Jan 2023","2022","","","2024","2028","Motor imagery (MI) based on Electroencephalogram (EEG) analysis is a common used paradigm in BCI. Previous works to classify MI have obtained promising classification results. However, there still exit some challenges: 1) Although the deep learning (DL) models are the mainstream methods to solve MI classification, with their depths increasing, the accuracy gets saturated then degrades rapidly. 2) The complex and changeable relationship of the time sequence in the EEG signals makes it difficult to model. In this paper, we propose REEG-BTCNet, a novel framework that achieves outstanding accuracy with stronger robustness for EEG-based motor imagery classification. The REEG-BTCNet consists of residual compact convolution (RCV) module and bi-directional temporal convolution (BTCN) module. Specifically, the RCV module consists of convolution with residual connection to learn high-level task specific EEG feature. The BTCN module consists of a window splitting module and various bi-directional temporal convolutions blocks to model the temporal information from the MI-EEG signals. The proposed model outperforms the current state-of-the-art techniques in the BCI Competition IV-2a dataset with an accuracy of 86.15% for the subject-dependent modes. For reproducibility, the code for this research and the trained models will be released on GitHub.","","978-1-6654-6819-0","10.1109/BIBM55620.2022.9995314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9995314","EEG;motor imagery;residual;BTCN","Analytical models;Convolution;Biological system modeling;Time series analysis;Bidirectional control;Brain modeling;Feature extraction","","1","","29","IEEE","2 Jan 2023","","","IEEE","IEEE Conferences"
"Motor imagery EEG signal classification scheme based on autoregressive reflection coefficients","M. T. F. Talukdar; S. K. Sakib; N. S. Pathan; S. A. Fattah","Bangladesh University of Engineering and Technology, Dhaka, Dhaka District, BD; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh","2014 International Conference on Informatics, Electronics & Vision (ICIEV)","10 Jul 2014","2014","","","1","4","In brain-computer interface (BCI) applications, classification of electroencephalogram (EEG) data for different motor imagery (MI) tasks is a major concern. In this paper, an efficient MI task classification scheme is proposed based on autoregressive (AR) modeling of the EEG signal. From given EEG recording, after some basic preprocessing operations, the processed EEG data of each channel is windowed into several frames and AR parameters are extracted using least-square Yule-Walker method. Considering the reflection coefficients from the autoregressive modeling, a set of features is extracted from the average of the coefficients of the specified frames. In order to reduce the dimension of the proposed feature matrix, principal component analysis (PCA) is employed. For the purpose of classification, train and test sets are formed based on leave one out cross validation and then linear discriminant analysis (LDA) based classifier is used. Simulation is carried out on publicly available MI dataset IVa of BCI Competition-III and a very satisfactory performance is obtained in classifying the MI data in two classes, namely right hand and right foot MI tasks. Proposed classification scheme not only offers significant reduction in feature dimensionality but also provides satisfactory classification accuracy.","","978-1-4799-5180-2","10.1109/ICIEV.2014.6850812","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6850812","Autoregregressive (AR) model;brain computer interface (BCI);classification;electroencephalogram (EEG);feature extraction;linear discriminant analysis (LDA);motor imagery (MI);principal component analysis (PCA)","Electroencephalography;Reflection coefficient;Feature extraction;Principal component analysis;Accuracy;Brain models","","10","","14","IEEE","10 Jul 2014","","","IEEE","IEEE Conferences"
"TF-HiTNet: A Temporal-Frequency Hierarchical Transformer Network for EEG Motor Imagery Classification","C. Yue; H. Hu; E. Shi; S. Zhang","School of Computer Science, Northwestern Polytechnical University, Xi'an, China; School of Computer Science, Northwestern Polytechnical University, Xi'an, China; School of Computer Science, Northwestern Polytechnical University, Xi'an, China; School of Computer Science, Northwestern Polytechnical University, Xi'an, China",2024 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"10 Jan 2025","2024","","","3961","3965","Electroencephalogram (EEG) motor imagery decoding, serving as the primary non-invasive modality for exploring brain-computer interfaces, has gained increasing attention. Previous research has achieved significant breakthroughs in the extraction and classification of features related to motor imagery. However, effectively integrating temporal-frequency patterns and capturing long-term dependencies across the entire sequence remain open challenges. To address these issues, we propose a novel Temporal-Frequency Hierarchical Transformer Network (TF-HiTNet) for EEG motor imagery classification. TF-HiTNet leverages a hierarchical transformer architecture and a feature fusion module to effectively extract and integrate temporal and frequency features from EEG signals. This approach captures both local features within EEG segments and global patterns across segments, while simultaneously considering information in both the time and frequency domains. Evaluation on the BCI4-2A and GigaDB datasets demonstrates the effectiveness of TF-HiTNet, achieving an average performance of 79.7% and 83.1%, respectively. Our experiments validate that the hierarchical transformer architecture can effectively learn the relationships between low-level and high-level features, while the time-frequency fusion module significantly improves the accuracy of motor imagery classify-cation.","2156-1133","979-8-3503-8622-6","10.1109/BIBM62325.2024.10822675","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10822675","EEG;Motor Imagery;Temporal-Frequency Fusion;Hierarchical Transformer","Training;Time-frequency analysis;Image segmentation;Accuracy;Biological system modeling;Motors;Transformers;Feature extraction;Brain modeling;Electroencephalography","","","","24","IEEE","10 Jan 2025","","","IEEE","IEEE Conferences"
"Spatio-Temporal Spiking Attention Recurrent Neural Network for EEG-Based Motor Imagery Classification","J. -G. Lim; S. -E. Kim","Dept. Defence AI Convergence Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Dept. Applied Artificial Intelligence, Dept. Defence AI Convergence Engineering, Seoul National University of Science and Technology, Seoul, South Korea","2025 International Conference on Electronics, Information, and Communication (ICEIC)","18 Feb 2025","2025","","","1","4","Motor Imagery (MI), a primary research domain of brain-computer interface (BCI) studies, focuses on the recording and analysis of brain activity related to imagined movements, primarily using electroencephalography (EEG). Recent advance-ments in deep learning have significantly enhanced EEG-based MI classification. New challenges, raised with increasing interest in developing low-power neuromorphic devices, brought the demand for spiking neural networks (SNNs), which promise efficient MI classification with reduced energy requirements. However, the application of SNNs to EEG-based MI classification remains relatively unexplored. In this study, we propose a novel approach that integrates spatio-temporal spike encoding with an attention recurrent neural network (ARNN), referred to as spiking ARNN (SARNN). This architecture is designed to capture both the spatial dependencies across EEG channels and the temporal dynamics within the EEG signals, enabling more robust feature extraction and classification. Our method achieved an accuracy of 78.46% on the benchmark BCI Competition IV 2a dataset, demonstrating substantial improvements in MI classification performance and emphasizing the potential of SNNs in BCI applications.","2767-7699","979-8-3315-1075-6","10.1109/ICEIC64972.2025.10879689","National Research Foundation of Korea (NRF); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10879689","Motor Imagery;Spiking Neural Networks;EEG","Recurrent neural networks;Image coding;Accuracy;Neuromorphics;Spiking neural networks;Motors;Brain modeling;Electroencephalography;Data models;Recording","","","","12","IEEE","18 Feb 2025","","","IEEE","IEEE Conferences"
"Towards the Effective Intrinsic Mode Functions for Motor Imagery EEG Signal Classification","T. Nazneen; M. A. Rahman; M. N. Mollah","Department of Biomedical Engineering, Khulna University of Engineering & Technology (KUET), Khulna, Bangladesh; Department of Biomedical Engineering, Khulna University of Engineering & Technology (KUET), Khulna, Bangladesh; Department of EEE, Khulna University of Engineering & Technology (KUET), Khulna, Bangladesh","2019 International Conference on Electrical, Computer and Communication Engineering (ECCE)","4 Apr 2019","2019","","","1","6","To better utilize one of the most powerful signal decomposition methods called Empirical Mode Decomposition (EMD) in the field of a brain-computer interface, a better understanding of its components is necessary. In analyzing two-class motor imagery Electroencephalogram, one or more specific intrinsic mode function (IMF) plays a major role in the classification and therefore, utilization of the signal. This research work investigates the most effective IMF for motor imagery EEG signal by PCA based Hilber-Huang transformation. To implement the research work, motor imagery (left and right hand) EEG signals of eight participants are taken into consideration. The signals of central lobes are transformed into three dimensions to one dimension by PCA. These transformed signals are decomposed into 8 IMFs. Significant features are extracted from the signals and classified by ANN and LDA method and tabulated. From the results, we found that IMF4 provides the most significant classification accuracies.","","978-1-5386-9111-3","10.1109/ECACE.2019.8679120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8679120","Empirical mode decomposition;intrinsic mode junction;EEG;motor imagery;ANN;LDA","Electroencephalography;Principal component analysis;Feature extraction;Data acquisition;Artificial neural networks;Pattern classification;Empirical mode decomposition","","4","","15","IEEE","4 Apr 2019","","","IEEE","IEEE Conferences"
"ST-GNN for EEG Motor Imagery Classification","B. S. Vivek; A. Adarsh; J. Gubbi; K. Muralidharan; R. K. Ramakrishnan; A. Pal","TCS Research, India; TCS Research, India; TCS Research, India; TCS Research, India; TCS Research, India; TCS Research, India",2022 IEEE-EMBS International Conference on Biomedical and Health Informatics (BHI),"4 Nov 2022","2022","","","01","04","Brain-computer interface (BCI) systems play an important role in medical applications such as stroke rehabilitation and neural prosthesis. These systems aim to decode the neural activity of the human brain measured using an Electroencephalogram (EEG). In this work, we consider the task of EEG-based motor imagery (intent) classification. Motor imagery (MI) refers to the imagination of the limb movement in the brain without actual action. Classification of motor imagery forms the basis for BCI-based prosthetic control. Existing approaches either use handcrafted features or features extracted from a deep neural network to interpret EEG-based MI. However, majority of the existing works fail to harness the functional connectivity within the brain that is captured using multiple EEG channels. In our work, we represent the input EEG signal as a graph where the nodes represent the EEG channels. The proposed approach uses a graph representation with a trainable weighted adjacency matrix to learn the optimal connectivity between nodes. Spatio-temporal features of the EEG signal are extracted via the proposed model that consists of a temporal convolution module and a graph convolution network. Experimental results and ablation study highlight the effectiveness of the proposed approach on the PhysioNet EEG motor movement and imagery dataset (EEG-MMIDB).","2641-3604","978-1-6654-8791-7","10.1109/BHI56158.2022.9926806","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9926806","Graph neural network;Motor-Imagery;EEG","Deep learning;Convolution;Neural activity;Stroke (medical condition);Feature extraction;Brain modeling;Electroencephalography","","2","","16","IEEE","4 Nov 2022","","","IEEE","IEEE Conferences"
"Motor imagery EEG signal classification scheme based on wavelet domain statistical features","S. M. Imran; M. T. F. Talukdar; S. K. Sakib; N. S. Pathan; S. A. Fattah","Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh",2014 International Conference on Electrical Engineering and Information & Communication Technology,"9 Oct 2014","2014","","","1","4","Classification of electroencephalogram (EEG) data for different motor imagery (MI) tasks is a major concern in the brain-computer interface (BCI) applications. In this paper, an efficient feature extraction scheme is proposed based on the discrete wavelet transform (DWT) of the EEG signal. The EEG data of each channel is windowed into several frames and DWT is performed on each frame of data. Considering only the approximate DWT coefficients, a set of statistical features are extracted, namely wavelet domain energy, entropy, variance, and maximum. In order to reduce the dimension of the proposed feature vector, which is composed of average statistical feature values of all channels, principal component analysis (PCA) is employed. For the purpose of classification, k nearest neighbor (KNN) classifier is employed. Proposed classification scheme not only offers significant reduction in feature dimensionality but also provides satisfactory classification accuracy. For the purpose of performance analysis, publicly available MI dataset IVa of BCI Competition-III is used and a very satisfactory performance is obtained in classifying the MI data in two classes, namely right hand and right foot MI tasks.","","978-1-4799-4819-2","10.1109/ICEEICT.2014.6919172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6919172","BCI;Classification;Discrete Wavelet Transform;EEG;Feature Extraction;KNN;Motor Imagery","Discrete wavelet transforms;Electroencephalography;Feature extraction;Principal component analysis;Entropy;Accuracy","","10","","11","IEEE","9 Oct 2014","","","IEEE","IEEE Conferences"
"The Mechanism of a Multi-Branch Structure for EEG-Based Motor Imagery Classification","H. Zhou; X. Zhao; H. Zhang; S. Kuang","School of Mechanical and Electrical Engineering, Soochow University, Suzhou, China; School of Mechanical and Electrical Engineering, Soochow University, Suzhou, China; School of Mechanical and Electrical Engineering, Soochow University, Suzhou, China; School of Mechanical and Electrical Engineering, Soochow University, Suzhou, China",2019 IEEE International Conference on Robotics and Biomimetics (ROBIO),"20 Jan 2020","2019","","","2473","2477","In the field of motor imagery (MI) classification, it is a great challenge to preserve temporal features and spatial ones of the electroencephalogram (EEG) data simultaneously for effective processing. In our former study, a novel framework for MI classification has been proposed, which represents the EEG data into a 3D form and handles it with a multi-branch 3D convolutional neural network (3D CNN). The 3D CNN is constructed with three different branches and already proved to be better than one branch network. In this paper, to study the mechanism of the multi-branch structure, we modify the framework of the multi-branch network with three same networks as the branch and compare different multi-branch networks with the corresponding one branch network to find whether multi-branch structure is better than one branch structure in MI classification tasks. Experiment results revealed that the modified multi-branch 3D CNN can also reach state-of-the-art classification kappa value level and performs better than other methods in terms of standard deviation including the original network with three different branches. The good performance of the modified network may reflect multi-branch structure is better than one branch structure and shows its application value in EEG classification.","","978-1-7281-6321-5","10.1109/ROBIO49542.2019.8961384","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8961384","motor imagery (MI);electroencephalogram (EEG);3D convolutional neural network (3D CNN);multi-branch structure;one branch structure","","","5","","24","IEEE","20 Jan 2020","","","IEEE","IEEE Conferences"
